pass_no,rel,exit_code,seconds,log_file
1,gold\build_ds_ajuste_poscosecha_ml2_v1.py,1,1.22,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__gold__build_ds_ajuste_poscosecha_ml2_v1.py.log
1,gold\build_ds_desp_poscosecha_ml2_v1.py,1,1.15,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__gold__build_ds_desp_poscosecha_ml2_v1.py.log
1,gold\build_ds_dh_poscosecha_ml2_v1.py,1,1.10,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__gold__build_ds_dh_poscosecha_ml2_v1.py.log
1,gold\build_ds_harvest_horizon_ml2_v2.py,0,41.63,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__gold__build_ds_harvest_horizon_ml2_v2.py.log
1,gold\build_ds_harvest_start_ml2_v2.py,0,44.42,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__gold__build_ds_harvest_start_ml2_v2.py.log
1,gold\build_ds_hidr_poscosecha_ml2_v1.py,1,0.85,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__gold__build_ds_hidr_poscosecha_ml2_v1.py.log
1,gold\build_ds_peso_tallo_ml2_v1.py,0,2.86,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__gold__build_ds_peso_tallo_ml2_v1.py.log
1,gold\build_ds_share_grado_ml2_v1.py,0,2.74,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__gold__build_ds_share_grado_ml2_v1.py.log
1,gold\build_ds_tallos_curve_ml2_v2.py,0,1.36,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__gold__build_ds_tallos_curve_ml2_v2.py.log
1,gold\build_pred_cajas_postcosecha_seed_mix_grado_dia.py,0,7.23,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__gold__build_pred_cajas_postcosecha_seed_mix_grado_dia.py.log
1,gold\build_pred_kg_cajas_grado_dia_ml1_full.py,0,3.89,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__gold__build_pred_kg_cajas_grado_dia_ml1_full.py.log
1,gold\build_pred_kg_cajas_ml2.py,1,0.64,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__gold__build_pred_kg_cajas_ml2.py.log
1,gold\build_pred_poscosecha_ml1_views.py,0,2.18,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__gold__build_pred_poscosecha_ml1_views.py.log
1,gold\build_pred_poscosecha_ml2_final_views.py,1,0.65,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__gold__build_pred_poscosecha_ml2_final_views.py.log
1,gold\build_pred_poscosecha_ml2_seed_mix_grado_dia.py,1,0.66,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__gold__build_pred_poscosecha_ml2_seed_mix_grado_dia.py.log
1,gold\build_pred_poscosecha_ml2_views_from_full.py,1,0.68,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__gold__build_pred_poscosecha_ml2_views_from_full.py.log
1,gold\build_pred_tallos_grado_dia_ml1.py,0,1.82,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__gold__build_pred_tallos_grado_dia_ml1.py.log
1,gold\build_pred_tallos_grado_dia_ml1_full.py,0,1.94,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__gold__build_pred_tallos_grado_dia_ml1_full.py.log
1,gold\build_pred_tallos_ml2_full.py,1,0.64,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__gold__build_pred_tallos_ml2_full.py.log
1,gold\build_universe_harvest_grid_ml1.py,0,0.84,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__gold__build_universe_harvest_grid_ml1.py.log
1,gold\build_universe_harvest_grid_ml2.py,0,2.15,C:\Data-LakeHouse\src\run_logs\run_20260205_222348\pass01__gold__build_universe_harvest_grid_ml2.py.log
