layer,step,ok,skipped,seconds,returncode,stdout,stderr
bronze,balanza_cosecha_raw,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\bronze__balanza_cosecha_raw.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\bronze__balanza_cosecha_raw.err.log
bronze,balanza_1c_raw,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\bronze__balanza_1c_raw.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\bronze__balanza_1c_raw.err.log
bronze,balanza_mermas_sources,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\bronze__balanza_mermas_sources.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\bronze__balanza_mermas_sources.err.log
bronze,fenograma_sources,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\bronze__fenograma_sources.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\bronze__fenograma_sources.err.log
bronze,ghu_maestro_horas,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\bronze__ghu_maestro_horas.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\bronze__ghu_maestro_horas.err.log
bronze,personal_sources,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\bronze__personal_sources.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\bronze__personal_sources.err.log
bronze,ventas_sources,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\bronze__ventas_sources.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\bronze__ventas_sources.err.log
bronze,weather_hour_main,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\bronze__weather_hour_main.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\bronze__weather_hour_main.err.log
bronze,weather_hour_a4,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\bronze__weather_hour_a4.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\bronze__weather_hour_a4.err.log
silver,weather_hour_estado,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__weather_hour_estado.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__weather_hour_estado.err.log
silver,weather_hour_wide,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__weather_hour_wide.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__weather_hour_wide.err.log
silver,ciclo_maestro_from_sources,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__ciclo_maestro_from_sources.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__ciclo_maestro_from_sources.err.log
silver,hidratacion_real_from_balanza2,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__hidratacion_real_from_balanza2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__hidratacion_real_from_balanza2.err.log
silver,fact_cosecha_real_grado_dia,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__fact_cosecha_real_grado_dia.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__fact_cosecha_real_grado_dia.err.log
silver,fact_peso_tallo_real_grado_dia,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__fact_peso_tallo_real_grado_dia.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__fact_peso_tallo_real_grado_dia.err.log
silver,fact_cosecha_uph_hora_clima,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__fact_cosecha_uph_hora_clima.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__fact_cosecha_uph_hora_clima.err.log
silver,dim_dist_grado_baseline,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_dist_grado_baseline.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_dist_grado_baseline.err.log
silver,dim_peso_tallo_baseline,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_peso_tallo_baseline.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_084129\silver__dim_peso_tallo_baseline.err.log
